Publisher,Country,contentTitle,contentGenre,contentCategory_relleno,cat_nombres,evidencia,veredicto,detalle,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,genero_vs_imdb,conflicto_intra_titulo,Total Requests,prop_iab22,prop_iab22_nombres,prop_iab10,nivel_actual,nivel_propuesto,prop_evidencia,prop_forma_origen
TCL ADS - Springserve,Mexico,la fugitiva 2: la mujer de negro,Thriller,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,380000,[331],Movies > Crime and Mystery Movies,[IAB1],1,2,interna,
Select Plus PTE LTD (CTV),Chile,la isla mínima,Crime,[IAB1-5],Movies,externa,coincide,,tt3253930,movie,"Crime,Mystery,Thriller",A,coincide,,377600,"[331, 333]",Movies > Crime and Mystery Movies | Movies > Drama Movies,[IAB1-5],2,3,externa,imdb
TCL ADs (APAC),Mexico,toro%20tib%c3%baron%203,Action,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,376480,[325],Movies > Action and Adventure Movies,[IAB1],1,2,interna,
iion Pty Ltd,Mexico,war robots: frontiers - official ‘perfect crime’ story trailer,Not Applicable,,,,,,,,,,no_comparable,,375840,,,[IAB1],0,0,ninguna,
OTTera.tv,Venezuela,feeling butterflies,Family,[IAB1-22],Arts & Entertainment (tier 2 inexistente),externa,compatible,generico,tt18313970,tvMovie,"Comedy,Drama,Romance",A,no_coincide,,370880,"[330, 646, 333, 647, 326]",Movies > Comedy Movies | Television > Comedy TV | Movies > Drama Movies | Television > Drama TV | Movies > Romance Movies,[IAB1],1,2,externa,
TCL ADS - Springserve,Mexico,a good dinner party,Comedy,[IAB1-5],Movies,externa,compatible,generico,tt8907396,short,"Comedy,Short",A,coincide,,369600,[330],Movies > Comedy Movies,[IAB1-5],2,3,externa,declarado
"Coocaa, a SKYWORTH company",Venezuela,viagem you must go - guia michelin 2026,Lifestyle,[IAB20],Travel,interna,compatible,generico,,,,,no_comparable,,369440,[640],Television,[IAB1-7],1,2,interna,contentSeries
TCL ADs (APAC),Mexico,bad beat,Not Applicable,[IAB1-5],Movies,externa,compatible,generico,tt13475332,short,"Drama,Short",B,sin_genero_declarado,,365920,[333],Movies > Drama Movies,[IAB1-5],2,3,externa,declarado
TCL ADS - Springserve,Mexico,vile_trailer,Not Applicable,,,,,,,,,,no_comparable,,363840,,,[IAB1],0,0,ninguna,
iion Pty Ltd,Chile,young mr. lincoln,Drama,[IAB1-5],Movies,externa,coincide,,tt0032155,movie,"Biography,Drama",A,coincide,,362560,"[332, 333]",Movies > Documentary Movies | Movies > Drama Movies,[IAB1-5],2,3,externa,imdb
OTTera.tv,Argentina,an introduction to beatboxing,Not Applicable,,,,,,,,,,no_comparable,,359040,,,[IAB1],0,0,ninguna,
OTTera.tv,Argentina,baby%20won%e2%80%99t%20you%20please%20come%20home%20%28michelle%20hurst%20%26%20melanie%20nicholls-king%29,Not Applicable,,,,,,,,,,no_comparable,,358880,,,[IAB1],0,0,ninguna,
Select Plus PTE LTD (CTV),Mexico,caught on cam,Entertainment,[IAB1],Arts & Entertainment,ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,,356320,,,,1,1,ninguna,
TCL ADS - Springserve,Mexico,toro%20tib%c3%baron%203,Not Applicable,,,,,,,,,,no_comparable,,356000,,,[IAB1],0,0,ninguna,
iion Pty Ltd,Mexico,journeys in india: s1. journeys in india,Not Applicable,[IAB1],Arts & Entertainment,ninguna,no_evaluable,sin_evidencia,tt3783240,tvSeries,Documentary,C,no_comparable,,354880,,,,1,1,ninguna,
TCL ADs (APAC),Chile,paladin crossworlds: trailer,Sci-Fi,[IAB1-5],Movies,externa,coincide,,tt26629410,movie,Sci-Fi,A,coincide,,354720,[327],Movies > Science Fiction Movies,[IAB1-5],2,3,externa,imdb
TCL ADs (APAC),Mexico,underdog,Action,[IAB1-5],Movies,externa,coincide,,tt9493708,movie,"Action,Drama,Sport",B,coincide,,354240,"[325, 333]",Movies > Action and Adventure Movies | Movies > Drama Movies,[IAB1-5],2,3,externa,imdb
