Publisher,Country,contentTitle,contentGenre,contentCategory,cat_nombres,evidencia,veredicto,detalle,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,genero_vs_imdb,conflicto_intra_titulo,Total Requests,prop_iab22,prop_iab22_nombres,prop_iab10,nivel_actual,nivel_propuesto,prop_evidencia,prop_forma_origen
Select Plus PTE LTD (CTV),Mexico,juliana,Drama,[-7],,,,,tt32543991,movie,"Crime,Drama",B,coincide,,545760,"[331, 333]",Movies > Crime and Mystery Movies | Movies > Drama Movies,[IAB1-5],0,3,externa,imdb
Televisa Univision via SpringServe,Mexico,cuna de lobos 1986,Drama,[-7],,,,,,,,,no_comparable,,544800,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],0,2,interna,
iion Pty Ltd,Argentina,bluff: trailer,Crime,[-7],,,,,tt16246218,movie,"Crime,Drama,Thriller",B,coincide,,539840,"[331, 333]",Movies > Crime and Mystery Movies | Movies > Drama Movies,[IAB1-5],0,3,externa,imdb
iion Pty Ltd,Argentina,rider,Not Applicable,[-7],,,,,tt4215810,movie,Thriller,D,no_comparable,,536800,,,[IAB1],0,0,ninguna,
iion Pty Ltd,Colombia,overwatch 2 - official season 16: stadium trailer,Not Applicable,[-7],,,,,,,,,no_comparable,,534400,[640],Television,[IAB1-7],0,2,ninguna,titulo
Select Plus PTE LTD (CTV),Colombia,wild assault - official early access narrative trailer,Not Applicable,[-7],,,,,,,,,no_comparable,,533760,,,[IAB1],0,0,ninguna,
iion Pty Ltd,Peru,mandragora: whispers of the witch tree - official launch trailer,Not Applicable,[-7],,,,,,,,,no_comparable,,531840,,,[IAB1],0,0,ninguna,
iion Pty Ltd,Colombia,behind closed doors,Drama,[-7],,,,,tt18292144,movie,"Drama,Thriller",B,coincide,,531040,"[333, 331]",Movies > Drama Movies | Movies > Crime and Mystery Movies,[IAB1-5],0,3,externa,imdb
OTTera.tv,Mexico,the legend of baboo - official trailer   galaxies gaming showcase 2025,Not Applicable,[IAB1-5],Movies,ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,,531040,,,,2,2,ninguna,declarado
OTTera.tv,Mexico,barry's animal hospital season 1,Adventure,[-7],,,,,,,,,no_comparable,,519520,[640],Television,[IAB1-7],0,2,interna,titulo
iion Pty Ltd,Argentina,big sister’s code,Drama,[-7],,,,,,,,,no_comparable,,517680,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],0,2,interna,
iion Pty Ltd,Argentina,first impression,Drama,[-7],,,,,tt9203202,tvMovie,Comedy,B,no_coincide,,512160,"[330, 646]",Movies > Comedy Movies | Television > Comedy TV,[IAB1],0,2,externa,
iion Pty Ltd,Argentina,hunting grounds - official trailer,Not Applicable,[-7],,,,,,,,,no_comparable,,509120,,,[IAB1],0,0,ninguna,
TCL ADS - Springserve,Honduras,agenda: payback: trailer,Action,[-7],,,,,tt4788744,movie,Thriller,A,no_coincide,,508960,[331],Movies > Crime and Mystery Movies,[IAB1-5],0,3,externa,imdb
iion Pty Ltd,Mexico,the waterfall of colors,Animation,[-7],,,,,,,,,no_comparable,,504160,"[329, 641]",Movies > Animation Movies | Television > Animation TV,[IAB1],0,2,interna,
TCL ADs (APAC),Colombia,redville: trailer,Drama,[-7],,,,,tt15262920,movie,Drama,B,coincide,,502560,[333],Movies > Drama Movies,[IAB1-5],0,3,externa,imdb
TCL ADs (APAC),Colombia,41,Sci-Fi,[-7],,,,,,,,,no_comparable,,497600,"[327, 652]",Movies > Science Fiction Movies | Television > Science Fiction TV,[IAB1],0,2,interna,
iion Pty Ltd,Peru,if you think you're lonely now,Thriller,[-7],,,,,tt21277054,movie,"Crime,Thriller",A,coincide,,495520,[331],Movies > Crime and Mystery Movies,[IAB1-5],0,3,externa,imdb
iion Pty Ltd,Colombia,anthony,Not Applicable,[-7],,,,,tt3197500,short,"Comedy,Drama,Fantasy",B,sin_genero_declarado,,495200,"[330, 646, 333, 647, 335]",Movies > Comedy Movies | Television > Comedy TV | Movies > Drama Movies | Television > Drama TV | Movies > Fantasy Movies,[IAB1],0,2,externa,
TCL ADs (APAC),Peru,cicatrices serbias,Action,[-7],,,,,tt0892392,movie,"Action,Drama,Thriller",A,coincide,,488960,"[325, 333, 331]",Movies > Action and Adventure Movies | Movies > Drama Movies | Movies > Crime and Mystery Movies,[IAB1-5],0,3,externa,imdb
TCL ADS - Springserve,Argentina,darling. darling. wendy,Drama,[-7],,,,,tt7345932,short,"Drama,Fantasy,Short",A,coincide,,484960,"[333, 647, 335]",Movies > Drama Movies | Television > Drama TV | Movies > Fantasy Movies,[IAB1],0,2,externa,
OTTera.tv,Argentina,waking up,Entertainment,[-7],,,,,tt4460186,short,"Music,Short",B,sin_genero_declarado,,479760,[338],Music and Audio,[IAB1-6],0,1,externa,
TCL ADs (APAC),Colombia,unbeatable - official overview trailer   galaxies gaming showcase 2025,Not Applicable,[-7],,,,,,,,,no_comparable,,479200,,,[IAB1],0,0,ninguna,
iion Pty Ltd,Mexico,faith%2c%20hope%20%26%20love,Not Applicable,[-7],,,,,tt8310924,movie,"Comedy,Romance",B,sin_genero_declarado,,478240,"[330, 326]",Movies > Comedy Movies | Movies > Romance Movies,[IAB1-5],0,3,externa,imdb
iion Pty Ltd,Colombia,sayonara speed tribes: the bosozoku movie,Not Applicable,[-7],,,,,,,,,no_comparable,,477440,,,[IAB1],0,0,ninguna,
Vidaa,Mexico,gata salvaje,Drama,[IAB12],News,externa,contradice,vertical:noticias,tt0327759,tvSeries,"Drama,Romance",A,coincide,,473200,"[647, 642]",Television > Drama TV | Television > Soap Opera TV,[IAB1-7],1,3,externa,imdb
TCL ADS - Springserve,Mexico,boxing spotlight,Sports,[-7],,,,,,,,,no_comparable,,471680,[485],Sports > Boxing,[IAB17-5],0,2,interna,
TCL ADS - Springserve,Mexico,an affable devil (alex macqueen and cordelia levinson),Not Applicable,[-7],,,,,,,,,no_comparable,,468800,,,[IAB1],0,0,ninguna,
Select Plus PTE LTD (CTV),Colombia,mount lawrence: trailer,Documentary,[-7],,,,,tt3328056,movie,"Adventure,Biography,Documentary",A,coincide,,461280,"[325, 332, 333]",Movies > Action and Adventure Movies | Movies > Documentary Movies | Movies > Drama Movies,[IAB1-5],0,3,externa,imdb
Select Plus PTE LTD (CTV),Chile,7th commandment,Drama,[-7],,,,,,,,,no_comparable,,461280,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],0,2,interna,
iion Pty Ltd,Argentina,om nom,Not Applicable,[-7],,,,,tt4643420,tvSeries,"Action,Adventure,Animation",C,no_comparable,,457120,,,[IAB1],0,0,ninguna,
iion Pty Ltd,Argentina,the harbortown bobber_trailer,Documentary,[-7],,,,,,,,,no_comparable,,452960,"[332, 648]",Movies > Documentary Movies | Television > Factual TV,[IAB1],0,2,interna,
Xapads Media - CTV,Chile,main prem ki diwani hoon,Romance,[IAB1-5],Movies,externa,coincide,,tt0265148,movie,"Comedy,Drama,Musical",A,coincide,,452640,"[330, 333, 326]",Movies > Comedy Movies | Movies > Drama Movies | Movies > Romance Movies,[IAB1-5],2,3,externa,imdb
OTTera.tv,Ecuador,the adventures of paula peril: trailer,Action,[-7],,,,,tt3916634,movie,"Action,Adventure,Mystery",A,coincide,,452320,"[325, 331]",Movies > Action and Adventure Movies | Movies > Crime and Mystery Movies,[IAB1-5],0,3,externa,imdb
OTTera.tv,Mexico,martin luther king and the fbi – a marked man (mlk),Documentary,[-7],,,,,,,,,no_comparable,,446560,"[332, 648]",Movies > Documentary Movies | Television > Factual TV,[IAB1],0,2,interna,
Select Plus PTE LTD (CTV),Argentina,dead of knight,Horror,[-7],,,,,tt1367177,movie,"Adventure,Family,Fantasy",B,no_coincide,,440000,"[325, 334, 335]",Movies > Action and Adventure Movies | Movies > Family and Children Movies | Movies > Fantasy Movies,[IAB1-5],0,3,externa,imdb
TCL ADs (APAC),Chile,diamondz r 4eva,Thriller,[-7],,,,,tt27641805,movie,Crime,C,no_comparable,,437120,[331],Movies > Crime and Mystery Movies,[IAB1],0,2,interna,
iion Pty Ltd,Mexico,still human: trailer,Documentary,[-7],,,,,tt11584270,movie,Documentary,B,coincide,,436480,[332],Movies > Documentary Movies,[IAB1-5],0,3,externa,imdb
iion Pty Ltd,Argentina,jory,Western,[-7],,,,,tt0068773,movie,"Drama,Western",B,coincide,,428640,[333],Movies > Drama Movies,[IAB1-5],0,3,externa,imdb
Televisa Univision via SpringServe,Argentina,fuego ardiente,Drama,[-7],,,,,tt0123518,movie,"Adult,Crime,Drama",B,coincide,,426720,"[331, 333]",Movies > Crime and Mystery Movies | Movies > Drama Movies,[IAB1-5],0,3,externa,imdb
iion Pty Ltd,Mexico,deadly crush,Horror,[-7],,,,,tt7580598,movie,"Action,Romance,Thriller",B,no_coincide,,425600,"[325, 326, 331]",Movies > Action and Adventure Movies | Movies > Romance Movies | Movies > Crime and Mystery Movies,[IAB1-5],0,3,externa,imdb
TCL ADs (APAC),Colombia,grow house,Comedy,[-7],,,,,tt4274656,movie,Comedy,A,coincide,,423360,[330],Movies > Comedy Movies,[IAB1-5],0,3,externa,imdb
TCL ADS - Springserve,Dominican Republic,ride lonesome,Western,[-7],,,,,tt0053220,movie,Western,A,coincide,,420720,[324],Movies,[IAB1-5],0,2,externa,imdb
TCL ADS - Springserve,Argentina,la colonia perdida,Fantasy,[-7],,,,,tt0875696,tvMovie,"Fantasy,Horror,Mystery",A,coincide,,419520,"[335, 336, 331]",Movies > Fantasy Movies | Movies > Horror Movies | Movies > Crime and Mystery Movies,[IAB1],0,2,externa,
PML Digital,Colombia,calber island,Thriller,[sports],sports,externa,contradice,vertical:deportes,tt7720214,movie,Drama,A,no_coincide,vertical,419520,[333],Movies > Drama Movies,[IAB1-5],1,3,externa,imdb
Select Plus PTE LTD (CTV),Argentina,moving target: trailer,Crime,[-7],,,,,tt0074483,movie,"Action,Crime,Thriller",B,coincide,,417760,"[325, 331]",Movies > Action and Adventure Movies | Movies > Crime and Mystery Movies,[IAB1-5],0,3,externa,imdb
Roku - oRTB,Mexico,epg,Sci-Fi,"[IAB1-5, IAB1-7]",Movies | Television,interna,compatible,forma_ambigua,,,,,no_comparable,,414560,,,,2,2,interna,
Select Plus PTE LTD (CTV),Mexico,blue lips_trailer,Drama,[-7],,,,,,,,,no_comparable,,413760,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],0,2,interna,
TCL ADs (APAC),Chile,for the love of you,Romance,[-7],,,,,tt2290343,video,Romance,A,coincide,,412800,[326],Movies > Romance Movies,[IAB1],0,2,externa,
iion Pty Ltd,Argentina,the 85 south show with karlous miller. dc young fly and chico bean,Talk Show,[-7],,,,,,,,,no_comparable,,412480,[640],Television,[IAB1-7],0,2,interna,genero
Select Plus PTE LTD (CTV),Argentina,northwest passage,Western,[-7],,,,,tt0051299,tvSeries,"Adventure,Drama,Western",B,coincide,,411840,[647],Television > Drama TV,[IAB1-7],0,3,externa,imdb
TCL ADS - Springserve,Dominican Republic,london to brighton,Crime,[-7],,,,,tt0490166,movie,"Crime,Drama,Thriller",B,coincide,,410640,"[331, 333]",Movies > Crime and Mystery Movies | Movies > Drama Movies,[IAB1-5],0,3,externa,imdb
Select Plus PTE LTD (CTV),Mexico,life & me,Drama,[-7],,,,,tt29594199,movie,"Comedy,Drama",A,coincide,,408320,"[330, 333]",Movies > Comedy Movies | Movies > Drama Movies,[IAB1-5],0,3,externa,imdb
TCL ADs (APAC),Argentina,being keegan (stephen graham),Drama,[-7],,,,,,,,,no_comparable,,407680,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],0,2,interna,
Televisa Univision via SpringServe,Mexico,liga mx,Sports,[-7],,,,,,,,,no_comparable,,405680,[533],Sports > Soccer,[IAB17-44],0,2,interna,
