Publisher,Country,contentTitle,contentGenre,contentCategory,cat_nombres,evidencia,veredicto,detalle,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,genero_vs_imdb,conflicto_intra_titulo,Total Requests,prop_iab22,prop_iab22_nombres,prop_iab10,nivel_actual,nivel_propuesto,prop_evidencia,prop_forma_origen
Roku - oRTB,Mexico,Not Applicable,"drama histórico,religión,drama,religious,history,soap,music","[IAB1-6, IAB1-7, IAB23, IAB23-1, IAB23-10]",Music | Television | Religion & Spirituality | Alternative Religions | Pagan/Wiccan,interna,coincide,,,,,,no_comparable,,1719840,,,,2,2,interna,contentSeries
Zeasn Europe B.V.,Panama,Not Applicable,Not Applicable,[-7],,,,,,,,,no_comparable,,1672320,,,[IAB1],0,0,ninguna,
TCL ADS - Springserve,Argentina,eve: trailer,Horror,[-7],,,,,tt6189372,movie,"Drama,Thriller",B,no_coincide,,1650400,"[333, 331]",Movies > Drama Movies | Movies > Crime and Mystery Movies,[IAB1-5],0,3,externa,imdb
OTTera.tv,Peru,space dogs: tropical adventure (space dogs 3),Family,[IAB1],Arts & Entertainment,interna,compatible,generico,,,,,no_comparable,,1598080,"[334, 645]",Movies > Family and Children Movies | Television > Children's TV,[IAB1],1,2,interna,
Vidaa  APAC Hisense Headquarter,Mexico,tudn,Not Applicable,[IAB12],News,ninguna,no_evaluable,sin_evidencia,,,,,no_comparable,,1592000,,,,1,1,ninguna,
"Coocaa, a SKYWORTH company",Colombia,josé josé - el triste,music,[IAB1-6],Music,interna,coincide,,,,,,no_comparable,,1575680,,,,1,1,interna,contentSeries
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,Not Applicable,Action,"[IAB1, IAB1-5, IAB1-7]",Arts & Entertainment | Movies | Television,interna,compatible,forma_ambigua,,,,,no_comparable,,1532400,,,,2,2,interna,
iion Pty Ltd,Mexico,haunted_trailer,Horror,[-7],,,,,,,,,no_comparable,,1531520,[336],Movies > Horror Movies,[IAB1],0,2,interna,
PML Digital,Chile,red big fire truck,"drama,family",[-7],,,,,tt9204890,movie,Drama,A,coincide,,1526720,[333],Movies > Drama Movies,[IAB1-5],0,3,externa,imdb
iion Pty Ltd,Colombia,devils prey_trailer,Horror,[-7],,,,,,,,,no_comparable,,1505760,[336],Movies > Horror Movies,[IAB1],0,2,interna,
iion Pty Ltd,Mexico,ghungru_trailer,Drama,[-7],,,,,,,,,no_comparable,,1501920,"[333, 647]",Movies > Drama Movies | Television > Drama TV,[IAB1],0,2,interna,
iion Pty Ltd,Chile,penance lane,"drama,horror,thriller",[-7],,,,,tt1964995,movie,Horror,A,coincide,,1472960,[336],Movies > Horror Movies,[IAB1-5],0,3,externa,imdb
TCL ADS - Springserve,Mexico,tears & love,"drama,romance",[-7],,,,,,,,,no_comparable,,1463680,"[333, 647, 326]",Movies > Drama Movies | Television > Drama TV | Movies > Romance Movies,[IAB1],0,2,interna,
"Coocaa, a SKYWORTH company",Chile,transplant s4 ep 6 fever dream,"drama, medical drama, hospital setting, immigration experience, human relationships","[IAB1-7, IAB19-29]",Television | Entertainment,externa,contradice,vertical:tecnologia,tt10936342,tvSeries,Drama,B,coincide,,1452960,[647],Television > Drama TV,[IAB1-7],2,3,externa,titulo
iion Pty Ltd,Argentina,top ten mind blowing ufo crash cases trailer,"documentary,sci-fi",[-7],,,,,tt30780620,video,Documentary,A,coincide,,1444800,"[332, 648]",Movies > Documentary Movies | Television > Factual TV,[IAB1],0,2,externa,
iion Pty Ltd,Mexico,notorious: trailer,Drama,[-7],,,,,tt5519574,tvSeries,"Drama,Thriller",B,coincide,,1442880,[647],Television > Drama TV,[IAB1-7],0,3,externa,imdb
iion Pty Ltd,Mexico,a guide to creative writing,Not Applicable,[-7],,,,,,,,,no_comparable,,1401120,,,[IAB1],0,0,ninguna,
