Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries,ser_es,ser_evidencia,serie_propuesta,temporada,episodio
TCL ADs (APAC),Argentina,continuum,108000,tt1954347,tvSeries,"Action,Sci-Fi,Thriller",B,drama,Not Available,serie,imdb,continuum,,
TCL ADS - Springserve,Argentina,the expats international ingrams,107520,tt13255092,tvSeries,Reality-TV,A,,Not Available,serie,imdb,the expats international ingrams,,
TCL ADs (APAC),Chile,breathe,107360,tt6466208,tvSeries,"Crime,Drama,Thriller",B,,Not Available,serie,imdb,breathe,,
TCL ADS - Springserve,Mexico,e8. the colombian brew,107040,,,,,,Not Available,serie,titulo,the colombian brew,,8
Select Plus PTE LTD (CTV),Chile,duck camp dinners season 1,106240,tt35146256,tvSeries,Reality-TV,A,,Not Available,serie,titulo,duck camp dinners,1,
iion Pty Ltd,Colombia,grudge talk,106240,tt31709881,tvSeries,Reality-TV,A,,Not Available,serie,imdb,grudge talk,,
Vidaa,Mexico,todas las flores,105920,tt22309050,tvSeries,"Crime,Drama",B,telenovela,Not Available,serie,imdb,todas las flores,,
OTTera.tv,Venezuela,st. urbain's horseman,104640,tt0830165,tvMiniSeries,Drama,A,,Not Available,serie,imdb,st. urbain's horseman,,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,la que no podia amar,104560,tt2012381,tvSeries,"Drama,Romance",A,telenovela,Not Available,serie,imdb,la que no podia amar,,
OTTera.tv,Colombia,scarred,104160,tt2983900,tvSeries,"Crime,Drama,Thriller",B,,Not Available,serie,imdb,scarred,,
TCL ADS - Springserve,Argentina,just us,103520,tt0305713,tvSeries,Family,B,,Not Available,serie,imdb,just us,,
OTTera.tv,Mexico,chicken stew season 2,102720,tt3356808,tvSeries,"Action,Animation,Comedy",A,,Not Available,serie,titulo,chicken stew,2,
METAX SOFTWARE PTE. LTD. (Exchange),Mexico,jajaja,102720,tt1452626,movie,"Comedy,Drama,Romance",A,,Not Available,serie,intra_titulo,JAJAJA,,
iion Pty Ltd,Colombia,cain (part 1),101760,tt2364258,tvSeries,"Crime,Drama,Mystery",B,,Not Available,serie,imdb,cain,,
TCL ADs (APAC),Mexico,animacars discovery season 1,100800,,,,,,Not Available,serie,titulo,animacars discovery,1,
