Publisher,Country,contentTitle,Total Requests,ext_imdb_id,ext_tipo,ext_generos,ext_confianza,ext_wikidata_extra,contentSeries_relleno,ser_detalle,ser_es,serie_propuesta
Scripps - FreeWheel,Puerto Rico,cold+comfort,45600,tt0097075,movie,"Drama,Thriller",B,,Blue Bloods,IMDb movie Cold Comfort (tt0097075),pelicula,
Scripps - FreeWheel,Puerto Rico,deja+vu,44800,tt0453467,movie,"Action,Crime,Sci-Fi",B,,NCIS,IMDb movie Deja Vu (tt0453467),pelicula,
Kidoodle OpenWrap OTT,Mexico,let's make music,44000,tt0032700,movie,"Drama,Music,Romance",A,,Barney and Friends Special - Let's Make Music,IMDb movie Let's Make Music (tt0032700),pelicula,
Kidoodle OpenWrap OTT,Mexico,bebefinn sing-along movie: into the pinkfong world,43920,tt37510071,movie,"Adventure,Family,Music",A,,Bebefinn Sing-Along Movie: Into the Pinkfong World,IMDb movie Bebefinn Sing-Along Movie: Into the Pinkfong World (tt37510071),pelicula,
Scripps - FreeWheel,Puerto Rico,breakwater,43840,tt13924484,movie,"Crime,Drama,Mystery",B,,Law and Order SVU,IMDb movie Breakwater (tt13924484),pelicula,
Scripps - FreeWheel,Puerto Rico,the+long+con,43520,tt14089434,movie,"Crime,Drama",B,,The Listener,IMDb movie The Long Con (tt14089434),pelicula,
Scripps - FreeWheel,Puerto Rico,i+robot,43200,tt0343818,movie,"Action,Mystery,Sci-Fi",B,,I Robot,"IMDb movie I, Robot (tt0343818)",pelicula,
"Seedtag Advertising, S.L. (ORTB)",Puerto Rico,gone+baby+gone,43040,tt0452623,movie,"Crime,Drama,Mystery",B,,FBI,IMDb movie Gone Baby Gone (tt0452623),pelicula,
Scripps - FreeWheel,Puerto Rico,harlem+nights,42960,tt0097481,movie,"Comedy,Crime,Drama",B,romance,Harlem Nights,IMDb movie Harlem Nights (tt0097481),pelicula,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,la víctima perfecta,42880,tt1334102,movie,"Crime,Drama,Horror",B,,El Zorro Viejo,IMDb movie The Resident (tt1334102),pelicula,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,la prima de mi esposa,42880,tt27533613,movie,Drama,A,,El Talismán,IMDb movie Abusamos del alcohol (tt27533613),pelicula,
Scripps - FreeWheel,Puerto Rico,double+trouble,42880,tt1151359,movie,"Comedy,Crime,Drama",B,,NCIS,IMDb movie Leaves of Grass (tt1151359),pelicula,
Scripps - FreeWheel,Puerto Rico,blown+away,42720,tt0109303,movie,"Action,Crime,Drama",B,,NCIS,IMDb movie Blown Away (tt0109303),pelicula,
Kidoodle OpenWrap OTT,Puerto Rico,pinkfong sing-along movie 2: wonderstar concert,42720,tt23871460,movie,"Animation,Comedy,Family",A,,Pinkfong Sing-Along Movie 2: Wonderstar Concert,IMDb movie Pinkfong Sing-Along Movie 2: Wonderstar Concert (tt23871460),pelicula,
Scripps - FreeWheel,Puerto Rico,boom,42720,tt0330082,movie,"Crime,Thriller",B,,NCIS,IMDb movie Boom (tt0330082),pelicula,
Equativ (Formerly SMART AdServer) - oRTB CTV,Mexico,unlawful,42640,tt0031536,movie,"Crime,Drama,Romance",B,,The Chosen,IMDb movie King of the Underworld (tt0031536),pelicula,
Scripps - FreeWheel,Puerto Rico,kill+or+be+killed,42560,tt2364774,movie,"Drama,Horror,Mystery",B,,Saints and Sinners,IMDb movie Kill or Be Killed (tt2364774),pelicula,
"Seedtag Advertising, S.L. (ORTB)",Puerto Rico,presumed+guilty,42240,tt1582244,movie,"Biography,Crime,Drama",B,,Law and Order SVU,IMDb movie Guilty (tt1582244),pelicula,
LG Ads EMEA - SS,Mexico,that's what i am,42080,tt1606180,movie,"Comedy,Drama,Romance",A,,AtmosphereTV,IMDb movie That's What I Am (tt1606180),pelicula,
Gustotv Prebid,Mexico,blitz!,42000,tt1297919,movie,"Action,Adventure,Crime",B,,La Italia de Bonacini,IMDb movie Blitz (tt1297919),pelicula,
